Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1621588794.305141,02:00:00:00:00:00,1,1,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
1621588794.341903,02:00:00:00:00:00,1,1,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
1621588794.417952,02:00:00:00:00:00,1,2,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
1621588794.457884,02:00:00:00:00:00,1,3,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
1621588794.49469,02:00:00:00:00:00,1,3,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
1621588794.570771,02:00:00:00:00:00,1,4,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
1621588794.686338,02:00:00:00:00:00,11,6,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
1621588794.723084,02:00:00:00:00:00,6,6,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,111,SamsungM31_A
1621588794.839563,02:00:00:00:00:00,11,8,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
1621588794.923449,02:00:00:00:00:00,11,9,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
1621588794.960146,02:00:00:00:00:00,11,9,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
1621588794.996857,02:00:00:00:00:00,1,9,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
1621588794.996874,02:00:00:00:00:00,11,9,2d0117ff00000000000000000000000000000000000000000000,010008000000004080,0050f208001100,,02040b160c121824,3048606c,,,123,SamsungM31_A
