Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1624874785.460733,6e:30:de:e3:a9:5e,1,1,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020020,165,XiaomiRedmiNote9S_T
1624874785.481728,6e:30:de:e3:a9:5e,1,1,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000c,165,XiaomiRedmiNote9S_T
1624874785.527568,6e:30:de:e3:a9:5e,1,2,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020009,165,XiaomiRedmiNote9S_T
1624874785.56911,6e:30:de:e3:a9:5e,1,3,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,165,XiaomiRedmiNote9S_T
1624874785.569128,6e:30:de:e3:a9:5e,11,3,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,165,XiaomiRedmiNote9S_T
1624874785.677754,6e:30:de:e3:a9:5e,6,6,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,153,XiaomiRedmiNote9S_T
1624874785.741808,6e:30:de:e3:a9:5e,6,7,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,153,XiaomiRedmiNote9S_T
1624874785.825291,6e:30:de:e3:a9:5e,11,9,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000e,165,XiaomiRedmiNote9S_T
1624874785.866464,6e:30:de:e3:a9:5e,11,10,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000f,165,XiaomiRedmiNote9S_T
1624874785.888999,6e:30:de:e3:a9:5e,11,11,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020023,165,XiaomiRedmiNote9S_T
1624874785.91003,6e:30:de:e3:a9:5e,11,11,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000f,165,XiaomiRedmiNote9S_T
1624874785.956042,6e:30:de:e3:a9:5e,11,12,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000c,165,XiaomiRedmiNote9S_T
1624876961.874034,c2:da:c8:b2:c9:bd,1,1,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020022,165,XiaomiRedmiNote9S_T
1624876961.895055,c2:da:c8:b2:c9:bd,1,1,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000e,165,XiaomiRedmiNote9S_T
1624876961.941068,c2:da:c8:b2:c9:bd,1,2,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,165,XiaomiRedmiNote9S_T
1624876961.941085,c2:da:c8:b2:c9:bd,11,2,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,165,XiaomiRedmiNote9S_T
1624876961.98534,c2:da:c8:b2:c9:bd,1,3,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020009,165,XiaomiRedmiNote9S_T
1624876961.985357,c2:da:c8:b2:c9:bd,11,3,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020009,165,XiaomiRedmiNote9S_T
1624876962.093613,c2:da:c8:b2:c9:bd,6,6,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001d,153,XiaomiRedmiNote9S_T
1624876962.15632,c2:da:c8:b2:c9:bd,6,7,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,153,XiaomiRedmiNote9S_T
1624876962.24255,c2:da:c8:b2:c9:bd,11,9,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,165,XiaomiRedmiNote9S_T
1624876962.315323,c2:da:c8:b2:c9:bd,11,11,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020017,165,XiaomiRedmiNote9S_T
1624876962.336382,c2:da:c8:b2:c9:bd,11,11,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020003,165,XiaomiRedmiNote9S_T
1624876962.367463,c2:da:c8:b2:c9:bd,11,12,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000f,165,XiaomiRedmiNote9S_T
1624876962.411822,c2:da:c8:b2:c9:bd,11,13,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000e,165,XiaomiRedmiNote9S_T
1626769178.24002,6a:e1:81:73:ec:64,11,11,ad0113ffff000000000000000000000000000000000000000000,04000a82004000408001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,143,XiaomiRedmiNote9S_T
1626769298.265205,ca:61:53:e3:e5:b6,11,11,ad0113ffff000000000000000000000000000000000000000000,04000a82004000408001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020023,143,XiaomiRedmiNote9S_T
1626769418.280219,0a:ed:25:6d:1d:ad,11,11,ad0113ffff000000000000000000000000000000000000000000,04000a82004000408001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,143,XiaomiRedmiNote9S_T
1626769538.293116,ba:22:bf:a9:09:d7,11,11,ad0113ffff000000000000000000000000000000000000000000,04000a82004000408001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,143,XiaomiRedmiNote9S_T
1626769658.317127,ba:6a:65:81:ac:98,11,11,ad0113ffff000000000000000000000000000000000000000000,04000a82004000408001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,143,XiaomiRedmiNote9S_T
1626769778.335157,32:a3:f4:4a:af:04,11,11,ad0113ffff000000000000000000000000000000000000000000,04000a82004000408001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,143,XiaomiRedmiNote9S_T
1626769898.356412,fe:2c:65:fb:0a:4e,11,11,ad0113ffff000000000000000000000000000000000000000000,04000a82004000408001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001d,143,XiaomiRedmiNote9S_T
1626770018.393727,62:79:75:ca:83:fa,11,11,ad0113ffff000000000000000000000000000000000000000000,04000a82004000408001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001d,143,XiaomiRedmiNote9S_T
1626770083.515056,5e:03:09:7c:c9:75,1,1,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020020,165,XiaomiRedmiNote9S_T
1626770083.536766,5e:03:09:7c:c9:75,1,1,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000c,165,XiaomiRedmiNote9S_T
1626770083.580943,5e:03:09:7c:c9:75,1,2,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,165,XiaomiRedmiNote9S_T
1626770083.620673,5e:03:09:7c:c9:75,1,3,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000e,165,XiaomiRedmiNote9S_T
1626770083.665457,5e:03:09:7c:c9:75,6,4,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000c,165,XiaomiRedmiNote9S_T
1626770083.712959,5e:03:09:7c:c9:75,6,5,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020008,165,XiaomiRedmiNote9S_T
1626770083.712981,5e:03:09:7c:c9:75,11,5,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020008,153,XiaomiRedmiNote9S_T
1626770083.732325,5e:03:09:7c:c9:75,6,6,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,165,XiaomiRedmiNote9S_T
1626770083.75331,5e:03:09:7c:c9:75,6,6,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,165,XiaomiRedmiNote9S_T
1626770083.796244,5e:03:09:7c:c9:75,6,7,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,165,XiaomiRedmiNote9S_T
1626770083.94768,5e:03:09:7c:c9:75,11,11,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,153,XiaomiRedmiNote9S_T
1626770083.968702,5e:03:09:7c:c9:75,11,11,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,153,XiaomiRedmiNote9S_T
1626770138.395449,52:e2:48:5a:30:37,11,11,ad0113ffff000000000000000000000000000000000000000000,04000a82004000408001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,143,XiaomiRedmiNote9S_T
1626770258.415812,7e:3b:24:7f:97:6e,11,11,ad0113ffff000000000000000000000000000000000000000000,04000a82004000408001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001d,143,XiaomiRedmiNote9S_T
1626770832.044314,da:8f:58:93:d3:dd,1,1,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,165,XiaomiRedmiNote9S_T
1626770832.065343,da:8f:58:93:d3:dd,1,1,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,165,XiaomiRedmiNote9S_T
1626770832.108107,da:8f:58:93:d3:dd,1,2,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,165,XiaomiRedmiNote9S_T
1626770832.147959,da:8f:58:93:d3:dd,6,3,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000e,165,XiaomiRedmiNote9S_T
1626770832.147977,da:8f:58:93:d3:dd,1,3,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000e,165,XiaomiRedmiNote9S_T
1626770832.194546,da:8f:58:93:d3:dd,6,4,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000a,165,XiaomiRedmiNote9S_T
1626770832.237331,da:8f:58:93:d3:dd,6,5,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,165,XiaomiRedmiNote9S_T
1626770832.259652,da:8f:58:93:d3:dd,6,6,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,165,XiaomiRedmiNote9S_T
1626770832.280672,da:8f:58:93:d3:dd,6,6,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000a,165,XiaomiRedmiNote9S_T
1626770832.323937,da:8f:58:93:d3:dd,6,7,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000a,165,XiaomiRedmiNote9S_T
1626770832.369867,da:8f:58:93:d3:dd,6,8,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020007,165,XiaomiRedmiNote9S_T
1626770832.475342,da:8f:58:93:d3:dd,11,11,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02001f,153,XiaomiRedmiNote9S_T
1626770832.496409,da:8f:58:93:d3:dd,11,11,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,02000b,153,XiaomiRedmiNote9S_T
1626770852.053518,d6:56:2d:d7:5b:c6,1,1,ad0113ffff000000000000000000000000000000000000000000,00000a82004000000001,0050f208002700,,02040b16,0c1218243048606c,92f99133faff6203faff6203,020020,165,XiaomiRedmiNote9S_T
