Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1684589398.574081,76:f7:2b:0e:35:f3,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589398.574084,76:f7:2b:0e:35:f3,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589398.814193,76:f7:2b:0e:35:f3,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589398.814196,76:f7:2b:0e:35:f3,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589399.015256,76:f7:2b:0e:35:f3,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589399.035473,76:f7:2b:0e:35:f3,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589399.735062,81:05:f6:64:1d:54,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589399.969647,81:05:f6:64:1d:54,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589412.133039,05:e8:b4:8f:85:c9,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589412.134586,05:e8:b4:8f:85:c9,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589412.373051,05:e8:b4:8f:85:c9,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589412.374359,05:e8:b4:8f:85:c9,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589412.613080,05:e8:b4:8f:85:c9,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589412.614138,05:e8:b4:8f:85:c9,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589490.511499,39:3e:ba:d7:6d:b1,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589490.551881,39:3e:ba:d7:6d:b1,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589490.684163,39:3e:ba:d7:6d:b1,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589490.724215,39:3e:ba:d7:6d:b1,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589490.942150,39:3e:ba:d7:6d:b1,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589490.982796,39:3e:ba:d7:6d:b1,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589532.090457,5e:e2:02:3b:5d:2b,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589532.323338,5e:e2:02:3b:5d:2b,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589532.343488,5e:e2:02:3b:5d:2b,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589532.553005,5e:e2:02:3b:5d:2b,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589532.573844,5e:e2:02:3b:5d:2b,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589650.510909,cb:30:03:3f:8c:2d,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589650.551432,cb:30:03:3f:8c:2d,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589650.683507,cb:30:03:3f:8c:2d,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589650.723726,cb:30:03:3f:8c:2d,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589650.941873,cb:30:03:3f:8c:2d,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589650.988900,cb:30:03:3f:8c:2d,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589652.068218,c4:f6:8d:ae:8d:af,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589652.088394,c4:f6:8d:ae:8d:af,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589652.300107,c4:f6:8d:ae:8d:af,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589652.320425,c4:f6:8d:ae:8d:af,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589652.528109,c4:f6:8d:ae:8d:af,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589652.548333,c4:f6:8d:ae:8d:af,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589741.846158,af:b8:58:3e:2f:5b,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589742.759478,56:2f:cc:08:6f:62,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589746.416784,3f:e4:72:dc:3d:15,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589746.416786,3f:e4:72:dc:3d:15,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589746.656601,3f:e4:72:dc:3d:15,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589746.656604,3f:e4:72:dc:3d:15,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589746.896625,3f:e4:72:dc:3d:15,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589746.896629,3f:e4:72:dc:3d:15,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589754.837406,b3:82:25:bb:85:e7,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589754.857639,b3:82:25:bb:85:e7,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589755.068909,b3:82:25:bb:85:e7,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589755.089183,b3:82:25:bb:85:e7,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589755.299286,b3:82:25:bb:85:e7,11,11,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020014,193,S21Ultra-M_a
1684589810.552051,20:02:3a:b6:69:df,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589810.552054,20:02:3a:b6:69:df,1,1,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589810.682018,20:02:3a:b6:69:df,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
1684589810.733319,20:02:3a:b6:69:df,6,6,2d001bffff000000000000000000000000000000000000000000,04004880014000400021,00904c0408bf0c7678910ffaff0000faff0020,,82848b96,0c1218243048606c,,020028,193,S21Ultra-M_a
