Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1624274823.423061,56:76:96:fe:e3:51,1,1,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624274823.473135,56:76:96:fe:e3:51,11,11,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624274958.421873,f2:e7:86:51:24:57,1,1,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624274958.471878,f2:e7:86:51:24:57,11,11,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624275228.417168,5a:92:46:6a:3a:e7,1,1,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624275228.442199,5a:92:46:6a:3a:e7,6,6,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,101,iPhoneXR-U
1624275228.467153,5a:92:46:6a:3a:e7,11,11,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624275498.411531,42:f5:e1:46:af:ab,1,1,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624275498.461496,42:f5:e1:46:af:ab,11,11,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624275768.406788,5e:35:81:38:cd:a5,1,1,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624275768.456816,5e:35:81:38:cd:a5,11,11,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624277039.17105,a6:b0:f2:7f:48:0e,1,1,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624277039.19118,a6:b0:f2:7f:48:0e,1,1,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624277039.244924,a6:b0:f2:7f:48:0e,6,6,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,101,iPhoneXR-U
1624277039.261446,a6:b0:f2:7f:48:0e,11,11,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
1624277039.287478,a6:b0:f2:7f:48:0e,11,11,2d0017ff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXR-U
